,x1,x2,t,x3
0,-20.0,-22.83792279002164,0.0,456.7584558004328
1,-19.95995995995996,-30.54548264273502,0.0,609.686610506643
2,-19.91991991991992,-23.318671482325424,0.0,464.50606856684277
3,-19.87987987987988,-22.799703936802956,0.0,453.2553755604672
4,-19.83983983983984,-31.87666835152373,0.0,632.4279947219222
5,-19.7997997997998,-23.090939534753698,0.0,457.19597997740556
6,-19.75975975975976,-43.105896570453034,0.0,851.7621604612041
7,-19.71971971971972,-31.841485070064273,0.0,627.9051610413075
8,-19.67967967967968,-20.527687714621976,0.0,403.97831878825633
9,-19.63963963963964,-36.78936906489105,0.0,722.5299510041665
10,-19.5995995995996,-26.340609179452606,0.0,516.2653931268088
11,-19.55955955955956,-28.10737243077908,0.0,549.7678251225458
12,-19.51951951951952,-24.375135336070603,0.0,475.7909299833601
13,-19.47947947947948,-35.91383429075003,0.0,699.5827980960917
14,-19.43943943943944,-20.591874820819303,0.0,400.2945035238347
15,-19.3993993993994,-23.466425565662735,0.0,455.2345620245684
16,-19.35935935935936,-22.58931110484645,0.0,437.3145913590894
17,-19.31931931931932,-23.057701447768753,0.0,445.4590970389759
18,-19.27927927927928,-30.314000596834056,0.0,584.4320835786025
19,-19.23923923923924,-22.83373227239697,0.0,439.3036379133831
20,-19.1991991991992,-29.94620542092661,0.0,574.9431631365089
21,-19.15915915915916,-32.00576374873806,0.0,613.2035216725191
22,-19.11911911911912,-19.136146063922368,0.0,365.8662560769942
23,-19.07907907907908,-25.382124374718998,0.0,484.2675581402844
24,-19.03903903903904,-12.421195727201805,0.0,236.4876303617401
25,-18.998998998999,-18.923141976079847,0.0,359.520755461457
26,-18.95895895895896,-20.506907855074317,0.0,388.7896243995071
27,-18.91891891891892,-29.346559979099823,0.0,555.2051887937804
28,-18.87887887887888,-13.96198459997064,0.0,263.5866161716179
29,-18.83883883883884,-20.93401176740204,0.0,394.3724739364429
30,-18.7987987987988,-17.23298845211241,0.0,323.9594826132843
31,-18.75875875875876,-22.682078700696984,0.0,425.48764249355503
32,-18.71871871871872,-22.05639974435701,0.0,412.8675427622383
33,-18.67867867867868,-14.939563279996284,0.0,279.0513021068375
34,-18.63863863863864,-25.28037689649632,0.0,471.1918096223839
35,-18.5985985985986,-23.86175926370418,0.0,443.7952824020257
36,-18.55855855855856,-13.469399181859881,0.0,249.97263346514734
37,-18.51851851851852,-18.002658191101855,0.0,333.3825590944788
38,-18.47847847847848,-23.62701866843272,0.0,436.59135597524323
39,-18.43843843843844,-24.57977913343243,0.0,453.21274438220763
40,-18.3983983983984,-15.112639930781258,0.0,278.0483702980576
41,-18.35835835835836,-28.810374354328694,0.0,528.9111768352235
42,-18.31831831831832,-8.924223676597187,0.0,163.4767700517803
43,-18.27827827827828,-16.691473038500263,0.0,305.0913890720869
44,-18.23823823823824,-20.37475587636417,0.0,371.59965171907425
45,-18.1981981981982,-27.971070533815016,0.0,509.0230853901472
46,-18.15815815815816,-24.80872315782424,0.0,450.4807188017335
47,-18.11811811811812,-22.756919103511443,0.0,412.31254832187904
48,-18.07807807807808,-15.667019688252179,0.0,283.22960517500934
49,-18.03803803803804,-14.940822623005342,0.0,269.5031267933496
50,-17.997997997998,-20.876229624927745,0.0,375.73033899519606
51,-17.95795795795796,-20.946793996290502,0.0,376.161645939391
52,-17.91791791791792,-16.00816163330802,0.0,286.83292616237594
53,-17.87787787787788,-26.92676673592138,0.0,481.39344735090674
54,-17.83783783783784,-17.203616395565174,0.0,306.87531948845987
55,-17.7977977977978,-20.973902016263583,0.0,373.2892671162828
56,-17.75775775775776,-23.350878850253373,0.0,414.6592500535484
57,-17.71771771771772,-17.230550682282207,0.0,305.28603310950456
58,-17.67767767767768,-18.762198083122342,0.0,331.6720902381788
59,-17.63763763763764,-17.184437414824753,0.0,303.0928801293415
60,-17.5975975975976,-20.885098182340936,0.0,367.52755359915284
61,-17.55755755755756,-16.840763729641957,0.0,295.6826784964164
62,-17.51751751751752,-29.216573069113796,0.0,511.80183054003146
63,-17.47747747747748,-23.258231355456612,0.0,406.49521468095344
64,-17.43743743743744,-17.51652692206156,0.0,305.443342324637
65,-17.3973973973974,-23.80073293946487,0.0,414.07080929719666
66,-17.35735735735736,-17.06989578422051,0.0,296.2882811795632
67,-17.31731731731732,-15.902121384745978,0.0,275.3820820381436
68,-17.27727727727728,-24.925784652730837,0.0,430.6496927989332
69,-17.237237237237238,-20.198349879566063,0.0,348.16374867480243
70,-17.197197197197198,-22.500965027438607,0.0,386.95353270409936
71,-17.157157157157158,-34.40972938349646,0.0,590.3731347678973
72,-17.117117117117118,-13.922836905089278,0.0,238.31882990693362
73,-17.077077077077078,-14.021894963379927,0.0,239.45298105631787
74,-17.037037037037038,-15.405486785619322,0.0,262.46384894018104
75,-16.996996996996998,-26.065785634044232,0.0,443.0400801462173
76,-16.956956956956958,-22.337657406657904,0.0,378.77869516394884
77,-16.916916916916918,-20.264609291357704,0.0,342.81471173568093
78,-16.876876876876878,-17.47231264160884,0.0,294.8780692067318
79,-16.836836836836838,-15.794571330641563,0.0,265.9306204017929
80,-16.796796796796798,-11.548628562806154,0.0,193.97996725113842
81,-16.756756756756758,-14.62619528698563,0.0,245.08759670084032
82,-16.716716716716718,-8.237210016410717,0.0,137.69910638043942
83,-16.676676676676678,-20.7526935680654,0.0,346.08596080477434
84,-16.636636636636638,-23.988154513595507,0.0,399.0822102261835
85,-16.596596596596598,-19.225851544833585,0.0,319.0837023156565
86,-16.556556556556558,-14.97035714294553,0.0,247.85756470902814
87,-16.516516516516518,-17.82453672907184,0.0,294.39925528497037
88,-16.476476476476478,-22.33155389921931,0.0,367.9453225036535
89,-16.436436436436438,-12.018572573312357,0.0,197.54250415794687
90,-16.396396396396398,-22.83294718164602,0.0,374.37805288825007
91,-16.356356356356358,-16.718640842633285,0.0,273.45604741604393
92,-16.316316316316318,-8.377913739349978,0.0,136.6966906420467
93,-16.276276276276278,-19.28207501446392,0.0,313.8403801152987
94,-16.236236236236238,-21.021361243387044,0.0,341.30778715489276
95,-16.196196196196198,-20.591268858750144,0.0,333.5002303649423
96,-16.156156156156158,-17.5557186155724,0.0,283.63293138672526
97,-16.116116116116117,-17.10572486347795,0.0,275.67784815014517
98,-16.076076076076077,-13.420943216580515,0.0,215.75610416244552
99,-16.036036036036037,-25.327935270495395,0.0,406.1596827160523
100,-15.995995995995996,-27.528005071662502,0.0,440.33785890407086
101,-15.955955955955956,-19.299437521658792,0.0,307.9409750703114
102,-15.915915915915916,-12.780259690183328,0.0,203.40953861252746
103,-15.875875875875876,-13.511774948816857,0.0,214.51126195018554
104,-15.835835835835836,-27.211278698180394,0.0,430.91334234756135
105,-15.795795795795796,-23.58129379272729,0.0,372.48530135058724
106,-15.755755755755755,-19.128224876824888,0.0,301.37963920042415
107,-15.715715715715715,-10.77978673496363,0.0,169.4120638027317
108,-15.675675675675675,-17.43834489078727,0.0,273.3578388285572
109,-15.635635635635635,-13.52602896076759,0.0,211.48806042761737
110,-15.595595595595595,-9.359030086189765,0.0,145.95964839122777
111,-15.555555555555555,-13.677100806801135,0.0,212.75490143912876
112,-15.515515515515515,-16.72519480149552,0.0,259.50001944262317
113,-15.475475475475475,-14.353764428867317,0.0,222.1313293996884
114,-15.435435435435435,-22.018709846161794,0.0,339.86837420201687
115,-15.395395395395395,-16.288097869868004,0.0,250.7617069455154
116,-15.355355355355355,-34.22360889586008,0.0,525.5156761386323
117,-15.315315315315315,-25.534792316814514,0.0,391.0733958431052
118,-15.275275275275275,-21.361916996764457,0.0,326.30916253315877
119,-15.235235235235235,-14.163567246842813,0.0,215.78527877572333
120,-15.195195195195195,-12.493744682763905,0.0,189.84488917352962
121,-15.155155155155155,-15.259833246243542,0.0,231.26514048861583
122,-15.115115115115115,-32.48247007441563,0.0,490.9762743980741
